recommendation_type,entity_type,entity_id,customer_segment,priority,recommendation,business_reason
General Engagement,Customer,CUST01962,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST01963,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Rewards,Customer,CUST01964,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST01965,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST01967,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST01968,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Rewards,Customer,CUST01969,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Second Booking Campaign,Customer,CUST01970,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Loyalty Rewards,Customer,CUST01971,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST01972,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST01973,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST01974,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST01975,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Second Booking Campaign,Customer,CUST01976,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Loyalty Rewards,Customer,CUST01977,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
General Engagement,Customer,CUST01978,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST01979,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Win-back Campaign,Customer,CUST01980,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST01981,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST01982,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST01983,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Rewards,Customer,CUST01984,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST01985,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST01986,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Campaign,Customer,CUST01987,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Rewards,Customer,CUST01988,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
General Engagement,Customer,CUST01989,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST01990,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST01991,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST01992,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST01993,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Second Booking Campaign,Customer,CUST01994,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
General Engagement,Customer,CUST01995,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Second Booking Campaign,Customer,CUST01996,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Loyalty Rewards,Customer,CUST01997,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST01998,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST01999,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST02000,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Rewards,Customer,CUST02001,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Rewards,Customer,CUST02002,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
General Engagement,Customer,CUST02003,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST02004,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST02005,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST02006,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Rewards,Customer,CUST02007,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST02008,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Rewards,Customer,CUST02010,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST02011,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Rewards,Customer,CUST02012,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST02013,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST02014,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST02015,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST02016,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST02017,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Rewards,Customer,CUST02018,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST02019,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST02021,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST02022,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST02023,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST02024,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST02025,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Rewards,Customer,CUST02026,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST02027,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Second Booking Campaign,Customer,CUST02028,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Loyalty Rewards,Customer,CUST02029,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Rewards,Customer,CUST02030,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST02031,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST02032,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Win-back Campaign,Customer,CUST02033,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST02034,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Rewards,Customer,CUST02035,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
General Engagement,Customer,CUST02036,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST02037,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST02038,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST02039,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Win-back Campaign,Customer,CUST02040,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST02041,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Reactivation Campaign,Customer,CUST02042,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST02043,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST02044,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
General Engagement,Customer,CUST02045,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST02046,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Win-back Campaign,Customer,CUST02047,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST02048,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST02049,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST02050,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST02051,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Rewards,Customer,CUST02053,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST02054,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Rewards,Customer,CUST02055,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST02056,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST02057,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST02058,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST02059,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Win-back Campaign,Customer,CUST02060,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Win-back Campaign,Customer,CUST02061,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST02062,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST02063,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST02064,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST02065,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Second Booking Campaign,Customer,CUST02066,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Loyalty Campaign,Customer,CUST02067,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Rewards,Customer,CUST02068,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST02069,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Rewards,Customer,CUST02070,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST02071,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST02072,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Second Booking Campaign,Customer,CUST02074,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Loyalty Campaign,Customer,CUST02075,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST02076,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST02077,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Second Booking Campaign,Customer,CUST02078,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Loyalty Rewards,Customer,CUST02079,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Win-back Campaign,Customer,CUST02081,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Campaign,Customer,CUST02082,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Second Booking Campaign,Customer,CUST02084,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Loyalty Campaign,Customer,CUST02085,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Rewards,Customer,CUST02086,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST02087,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Rewards,Customer,CUST02088,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST02089,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST02090,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST02091,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Rewards,Customer,CUST02092,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST02093,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST02094,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST02095,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST02096,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST02097,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST02098,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST02099,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST02100,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST02101,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST02102,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST02103,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Win-back Campaign,Customer,CUST02104,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST02105,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST02106,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST02107,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST02108,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST02109,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Rewards,Customer,CUST02110,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST02111,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Second Booking Campaign,Customer,CUST02112,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
General Engagement,Customer,CUST02113,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST02114,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST02115,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST02116,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST02117,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST02118,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST02119,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Win-back Campaign,Customer,CUST02120,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Campaign,Customer,CUST02121,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST02122,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST02123,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Second Booking Campaign,Customer,CUST02124,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Reactivation Campaign,Customer,CUST02125,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Rewards,Customer,CUST02126,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Win-back Campaign,Customer,CUST02127,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST02128,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST02129,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST02130,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST02131,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST02132,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST02133,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST02134,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST02135,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Reactivation Campaign,Customer,CUST02136,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST02137,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST02138,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST02139,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST02140,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST02141,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST02142,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST02143,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST02144,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Second Booking Campaign,Customer,CUST02145,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Reactivation Campaign,Customer,CUST02146,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Rewards,Customer,CUST02147,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
General Engagement,Customer,CUST02148,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST02150,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Second Booking Campaign,Customer,CUST02151,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
General Engagement,Customer,CUST02152,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST02153,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Win-back Campaign,Customer,CUST02154,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Campaign,Customer,CUST02155,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST02156,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST02157,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST02158,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST02159,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST02161,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST02162,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST02163,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST02165,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST02166,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST02167,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST02168,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST02169,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST02170,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Rewards,Customer,CUST02171,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Win-back Campaign,Customer,CUST02172,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
